T X1 X2 U1 U2 Vx Vsup
8.000000000000004885e-01 -2.462470056420833740e-04 -5.798150320315674337e-03 -3.957985564053348448e-02 -9.992164105074908820e-01 1.683959236238222502e-05 4.210516292878248024e-01
8.100000000000004974e-01 1.632741205304870488e-04 4.205741592565979611e-03 4.243167473025918901e-02 9.990993709234259335e-01 8.857460390937213154e-06 4.176294636989043019e-01
8.200000000000005063e-01 -2.402641326967815301e-04 -5.774322389971588143e-03 -3.879249794862815737e-02 -9.992472877635975026e-01 1.670026295839386238e-05 4.142719011307970933e-01
8.300000000000005151e-01 1.611185245015444353e-04 4.229535438454523968e-03 4.157308855294093025e-02 9.991354654440854910e-01 8.957464602040127681e-06 4.109775762445849745e-01
8.400000000000005240e-01 -2.347115273612030155e-04 -5.751194195842336543e-03 -3.806606000771001891e-02 -9.992752248882635913e-01 1.656566208968340362e-05 4.077451559545711146e-01
8.500000000000005329e-01 1.591450800699111185e-04 4.252609775097171418e-03 4.077697666055975917e-02 9.991682732024793623e-01 9.055008527881235113e-06 4.045733385956265526e-01
8.600000000000005418e-01 -2.295603448294156906e-04 -5.728746142289155123e-03 -3.739674365631001640e-02 -9.993004971298196093e-01 1.643561515735554002e-05 4.014608531133502245e-01
8.700000000000005507e-01 1.573447340204164597e-04 4.274986715323403526e-03 4.003952242891040819e-02 9.991980967974591898e-01 9.150134390757767839e-06 3.984064582763945928e-01
8.800000000000005596e-01 -2.247838231028707391e-04 -5.706959062726581038e-03 -3.678099540838117298e-02 -9.993233502609496499e-01 1.630995475538289701e-05 3.954089419103285485e-01
8.900000000000005684e-01 1.557087915431469528e-04 4.296687651307192629e-03 3.935715320935691264e-02 9.992252070936037400e-01 9.242885000329773495e-06 3.924671201524275177e-01
9.000000000000005773e-01 -2.203571204406502826e-04 -5.685814226163340632e-03 -3.621548965740732651e-02 -9.993440039890538751e-01 1.618852033748516403e-05 3.895798367267971352e-01
9.100000000000005862e-01 1.542289105841865185e-04 4.317733282293141801e-03 3.872652360549543038e-02 9.992498468198196537e-01 9.333303626940945489e-06 3.867459622392540042e-01
9.200000000000005951e-01 -2.162571666297681701e-04 -5.665293341050177747e-03 -3.569711315514234595e-02 -9.993626549518392910e-01 1.607115790113310957e-05 3.839643934914064860e-01
9.300000000000006040e-01 1.528970951993377622e-04 4.338143640847128002e-03 3.814450001979233229e-02 9.992722337372534902e-01 9.421433885171386221e-06 3.812340528133908446e-01
9.400000000000006128e-01 -2.124625267864577844e-04 -5.645378556850691801e-03 -3.522295065469584902e-02 -9.993794793506501906e-01 1.595771968771904337e-05 3.785538874147355570e-01
9.500000000000006217e-01 1.517056880868911475e-04 4.357938117742147198e-03 3.760814636030068714e-02 9.992925634304210547e-01 9.507319626933943030e-06 3.759228687528421986e-01
9.600000000000006306e-01 -2.089532765317596795e-04 -5.626052463691820493e-03 -3.479027161865652640e-02 -9.993946352671201350e-01 1.584806389799307895e-05 3.733399919185860782e-01
9.700000000000006395e-01 1.506473624540250280e-04 4.377135485580153224e-03 3.711471080848333104e-02 9.993110117684097515e-01 9.591004843469678968e-06 3.708042750385526221e-01
9.800000000000006484e-01 -2.057108875021272979e-04 -5.607298090399720839e-03 -3.439651790268236087e-02 -9.994082647027542343e-01 1.574205442191863451e-05 3.683147586934402695e-01
9.900000000000006573e-01 1.497151133523770441e-04 4.395753921241599138e-03 3.666161355886281281e-02 9.993277370769113599e-01 9.672533575638504939e-06 3.658705053521766337e-01
1.000000000000000666e+00 -2.027181222600883171e-04 -5.589098901183477477e-03 -3.403929233364130086e-02 -9.994204953759077137e-01 1.563956058215150677e-05 3.634705988213024486e-01
1.010000000000000675e+00 1.489022486014443536e-04 4.413811027246236640e-03 3.624643544983627980e-02 9.993428820565947168e-01 9.751949831939522796e-06 3.611141437091965334e-01
1.020000000000000684e+00 -1.999589377628047181e-04 -5.571438791191722986e-03 -3.371634810908973046e-02 -9.994314423061676500e-01 1.554045689039356096e-05 3.588002649047220549e-01
1.030000000000000693e+00 1.482023794034960894e-04 4.431323852101234223e-03 3.586690741266589100e-02 9.993565754787683275e-01 9.829297513731089214e-06 3.565281070698908539e-01
1.040000000000000702e+00 -1.974183966290809372e-04 -5.554302081135518987e-03 -3.342557895174710220e-02 -9.994412092122979541e-01 1.544462281591697645e-05 3.542968341461514847e-01
1.050000000000000711e+00 1.476094107403965990e-04 4.448308909706070666e-03 3.552090067250060490e-02 9.993689336853603944e-01 9.904620347154769239e-06 3.521056288739180529e-01
1.060000000000000719e+00 -1.950825855191503494e-04 -5.537673511143326351e-03 -3.316500995876071889e-02 -9.994498897465721177e-01 1.535194256559564507e-05 3.499536923249702558e-01
1.070000000000000728e+00 1.471175316309457489e-04 4.464782197877471825e-03 3.520641764139841035e-02 9.993800619168162758e-01 9.977961821298383775e-06 3.478402434473618632e-01
